iter	RMSE
0	1.650496921
1	1.495186773
2	1.358413987
3	1.233487253
4	1.124112687
5	1.02381614
6	0.9351898961
7	0.8496860633
8	0.7715666554
9	0.7070868453
10	0.6413852062
11	0.5828741401
12	0.5352337907
13	0.4876699391
14	0.4445052327
15	0.4055076559
16	0.3693713888
17	0.3380597355
18	0.3078712775
19	0.2800964107
20	0.2549881315
21	0.2342813964
22	0.2161958694
23	0.2006357872
24	0.1852029236
25	0.1703962701
26	0.1578703417
27	0.1476085942
28	0.1371151507
29	0.1284097114
30	0.1216206464
31	0.1144941719
32	0.1087080675
33	0.1033776181
34	0.09800300117
35	0.0937472692
36	0.09010022625
37	0.0867498541
38	0.08358724771
39	0.08079846693
40	0.07863304944
41	0.07578669984
42	0.07407045015
43	0.07275321707
44	0.07039885397
45	0.06940318451
46	0.06769944378
47	0.06616467555
48	0.06460918412
49	0.06349674561
50	0.06229578978
51	0.06111169092
52	0.05980226581
53	0.05873204242
54	0.05759644413
55	0.05669917182
56	0.05581603591
57	0.05476807591
58	0.05415835748
59	0.05366246959
60	0.05299984626
61	0.05238463406
62	0.05163428672
63	0.05093795504
64	0.05033265541
65	0.0495926567
66	0.04904267037
67	0.04853541042
68	0.04836143154
69	0.04783057962
70	0.04764459246
71	0.04730315287
72	0.04693227517
73	0.04634447701
74	0.04565981491
75	0.04528190729
76	0.04486598408
77	0.04442669194
78	0.04395922486
79	0.04369273201
80	0.04348321459
81	0.04321093871
82	0.04295930351
83	0.04256577847
84	0.04231569496
85	0.04202583115
86	0.04139549667
87	0.04134324962
88	0.04083942929
89	0.04077225011
90	0.04040815038
91	0.04003502673
92	0.03974815226
93	0.03955683456
94	0.0393602484
95	0.03901075876
96	0.038886721
97	0.03857550898
98	0.03832786438
99	0.03811578664
