category_id,user_preference_id
8,1
1,1
11,1
8,2
5,2
6,2
9,3
7,3
4,3
5,4
8,4
10,4
3,5
1,5
6,5
9,6
7,6
11,6
1,7
11,7
9,7
3,8
12,8
9,8
5,9
10,9
12,9
3,10
9,10
4,10
4,11
6,11
7,11
9,12
6,12
4,12
2,13
10,13
7,13
7,14
4,14
12,14
2,15
5,15
7,15
5,16
6,16
11,16
1,17
2,17
9,17
3,18
2,18
11,18
7,19
10,19
12,19
5,20
3,20
12,20
6,21
11,21
2,21
5,22
4,22
3,22
6,23
11,23
7,23
5,24
2,24
1,24
7,25
11,25
12,25
6,26
10,26
11,26
2,27
10,27
11,27
11,28
5,28
6,28
4,29
5,29
1,29
5,30
8,30
3,30
8,31
4,31
5,31
5,32
1,32
8,32
8,33
5,33
12,33
4,34
3,34
11,34
1,35
9,35
5,35
7,36
8,36
1,36
11,37
10,37
3,37
3,38
1,38
7,38
3,39
11,39
6,39
9,40
12,40
4,40
1,41
9,41
10,41
3,42
10,42
1,42
3,43
7,43
4,43
12,44
7,44
6,44
12,45
1,45
10,45
8,46
12,46
7,46
11,47
4,47
12,47
6,48
5,48
10,48
11,49
2,49
1,49
10,50
12,50
11,50
9,51
10,51
12,51
2,52
8,52
3,52
11,53
6,53
9,53
9,54
5,54
6,54
4,55
5,55
2,55
5,56
9,56
4,56
9,57
11,57
2,57
1,58
5,58
7,58
6,59
11,59
7,59
2,60
1,60
9,60
4,61
7,61
12,61
5,62
11,62
2,62
11,63
9,63
3,63
5,64
12,64
10,64
5,65
2,65
4,65
2,66
12,66
6,66
12,67
6,67
1,67
6,68
12,68
2,68
9,69
3,69
11,69
1,70
3,70
9,70
8,71
6,71
12,71
7,72
1,72
2,72
12,73
11,73
1,73
2,74
6,74
11,74
8,75
2,75
3,75
4,76
5,76
6,76
6,77
1,77
11,77
3,78
2,78
1,78
11,79
4,79
6,79
1,80
4,80
9,80
7,81
5,81
10,81
3,82
6,82
12,82
7,83
9,83
3,83
9,84
7,84
6,84
4,85
1,85
7,85
11,86
3,86
2,86
5,87
3,87
9,87
10,88
3,88
4,88
6,89
11,89
5,89
4,90
6,90
10,90
4,91
3,91
9,91
9,92
12,92
8,92
6,93
3,93
12,93
1,94
2,94
7,94
1,95
11,95
6,95
5,96
4,96
1,96
8,97
3,97
10,97
7,98
12,98
8,98
11,99
5,99
10,99
10,100
9,100
6,100
